InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
567653,85178,VICTORIAN SEWING KIT,12,9/21/2011 14:35,1.25,12550.0,Spain
547063,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,3/20/2011 13:33,0.85,14769.0,United Kingdom
580635,21220,SET/4 BADGES DOGS,1,12/5/2011 12:30,1.25,14649.0,United Kingdom
570049,23292,SPACEBOY CHILDRENS CUP,6,10/7/2011 10:55,1.25,17228.0,United Kingdom
549296,22698,PINK REGENCY TEACUP AND SAUCER,6,4/8/2011 7:37,2.95,14619.0,United Kingdom
540473,21156,RETROSPOT CHILDRENS APRON,3,1/7/2011 14:31,1.95,17284.0,United Kingdom
C549666,21471,STRAWBERRY RAFFIA FOOD COVER,-1,4/11/2011 12:17,3.75,13113.0,United Kingdom
578541,23015,CORDIAL GLASS JUG,2,11/24/2011 15:01,8.25,14277.0,France
556740,22630,DOLLY GIRL LUNCH BOX,1,6/14/2011 12:06,1.95,17346.0,United Kingdom
559477,23199,JUMBO BAG APPLES,10,7/8/2011 13:44,2.08,14315.0,United Kingdom
552232,20716,PARTY FOOD SHOPPER BAG,8,5/6/2011 15:54,0.83,,United Kingdom
566164,20723,STRAWBERRY CHARLOTTE BAG,34,9/9/2011 11:56,2.46,,United Kingdom
577778,23377,PACK OF 12 DOLLY GIRL TISSUES,1,11/21/2011 16:10,0.39,16549.0,United Kingdom
580482,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4,12/4/2011 12:44,2.95,16033.0,United Kingdom
557878,47566,PARTY BUNTING,4,6/23/2011 13:13,4.95,16940.0,United Kingdom
576399,23367,SET 12 COLOUR PENCILS SPACEBOY ,16,11/15/2011 10:50,0.65,12684.0,France
581023,23080,RED METAL BOX TOP SECRET,2,12/7/2011 10:35,16.63,,United Kingdom
551291,22420,LIPSTICK PEN BABY PINK,12,4/27/2011 14:26,0.36,14298.0,United Kingdom
577700,23322,LARGE WHITE HEART OF WICKER,1,11/21/2011 12:06,2.95,14449.0,United Kingdom
557500,23250,VINTAGE RED TRIM ENAMEL BOWL ,4,6/20/2011 15:27,2.46,,United Kingdom
579512,23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,1,11/29/2011 16:47,7.46,,United Kingdom
540316,22481,BLACK TEA TOWEL CLASSIC DESIGN,24,1/6/2011 13:00,0.42,16676.0,United Kingdom
568729,22113,GREY HEART HOT WATER BOTTLE,6,9/28/2011 16:45,4.25,16909.0,United Kingdom
562843,22815,CARD PSYCHEDELIC APPLES,1,8/9/2011 17:37,0.83,,United Kingdom
548703,22804,CANDLEHOLDER PINK HANGING HEART,1,4/3/2011 11:37,2.95,16010.0,United Kingdom
554808,23199,JUMBO BAG APPLES,2,5/26/2011 13:01,2.08,17059.0,United Kingdom
577302,22595,GINGHAM HEART DECORATION,1,11/18/2011 12:57,0.85,17904.0,United Kingdom
559120,22988,SOLDIERS EGG CUP ,12,7/6/2011 12:18,1.25,16393.0,United Kingdom
577052,22313,OFFICE MUG WARMER PINK,3,11/17/2011 14:08,2.95,17397.0,United Kingdom
577078,21249,WOODLAND  HEIGHT CHART STICKERS ,1,11/17/2011 15:17,5.79,,United Kingdom
C542951,22856,ASSORTED EASTER DECORATIONS  BELLS,-2,2/2/2011 11:16,1.25,16985.0,United Kingdom
572182,22815,CARD PSYCHEDELIC APPLES,12,10/21/2011 10:32,0.42,13588.0,United Kingdom
579792,22757,LARGE RED BABUSHKA NOTEBOOK ,12,11/30/2011 15:43,1.25,12714.0,France
556247,22149,FELTCRAFT 6 FLOWER FRIENDS,15,6/9/2011 16:16,2.1,15058.0,United Kingdom
575007,23551,PACK OF 12 PAISLEY PARK TISSUES ,24,11/8/2011 11:20,0.39,14140.0,United Kingdom
575176,22699,ROSES REGENCY TEACUP AND SAUCER ,2,11/8/2011 18:29,5.79,,United Kingdom
579196,22283,6 EGG HOUSE PAINTED WOOD,1,11/28/2011 15:54,15.79,14096.0,United Kingdom
550318,21713,CITRONELLA CANDLE FLOWERPOT,4,4/17/2011 12:25,2.1,16085.0,United Kingdom
565865,23207,LUNCH BAG ALPHABET DESIGN,10,9/7/2011 15:07,1.65,12637.0,France
569388,23284,DOORMAT KEEP CALM AND COME IN,200,10/3/2011 16:50,7.08,14031.0,United Kingdom
548363,21403,BLUE EGG  SPOON,24,3/30/2011 15:48,0.12,12428.0,Finland
580729,22835,HOT WATER BOTTLE I AM SO POORLY,7,12/5/2011 17:24,10.79,,United Kingdom
563012,22210,WOOD STAMP SET BEST WISHES,3,8/11/2011 12:00,0.83,17284.0,United Kingdom
553572,23202,JUMBO BAG VINTAGE LEAF,10,5/18/2011 9:37,2.08,18223.0,United Kingdom
567375,23083,SET 6 PAPER TABLE LANTERN STARS ,12,9/20/2011 9:45,3.75,14766.0,United Kingdom
574295,21623,VINTAGE UNION JACK MEMOBOARD,84,11/3/2011 15:47,8.5,17389.0,United Kingdom
574709,48138,DOORMAT UNION FLAG,2,11/6/2011 14:14,8.25,17768.0,United Kingdom
563557,22897,OVEN MITT APPLES DESIGN,10,8/17/2011 13:33,1.45,15786.0,United Kingdom
575217,90162B,ANT SILVER LIME GREEN BOUDICCA RING,6,11/9/2011 11:10,2.95,14794.0,United Kingdom
539453,90042C,FRESHWATER PEARL BRACELET IVORY,1,12/17/2010 17:08,2.54,,United Kingdom
576604,85125,SMALL ROUND CUT GLASS CANDLESTICK,35,11/15/2011 15:23,4.25,13435.0,United Kingdom
580400,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,12/4/2011 11:50,8.5,16561.0,United Kingdom
560238,23028,DRAWER KNOB CRACKLE GLAZE BLUE,12,7/17/2011 11:41,1.65,17725.0,United Kingdom
560225,22179,SET 10 NIGHT OWL LIGHTS,3,7/15/2011 16:27,5.79,,United Kingdom
578347,84828,JUNGLE POPSICLES ICE LOLLY MOULDS,1,11/24/2011 9:26,2.46,,United Kingdom
541946,21166,COOK WITH WINE METAL SIGN ,12,1/24/2011 11:50,1.95,17591.0,United Kingdom
553210,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,5/16/2011 9:40,0.42,14016.0,EIRE
566952,84519A,TOMATO CHARLIE+LOLA COASTER SET,1,9/15/2011 16:37,5.79,,United Kingdom
577504,22630,DOLLY GIRL LUNCH BOX,1,11/20/2011 12:36,1.95,14159.0,United Kingdom
541522,22625,RED KITCHEN SCALES,2,1/19/2011 9:54,8.5,17419.0,United Kingdom
576633,22835,HOT WATER BOTTLE I AM SO POORLY,8,11/16/2011 9:27,4.95,13297.0,United Kingdom
553162,22560,TRADITIONAL MODELLING CLAY,2,5/13/2011 15:53,2.46,,United Kingdom
561820,72598,SET/12 TAPER CANDLES,2,7/29/2011 16:00,1.63,,United Kingdom
573772,22630,DOLLY GIRL LUNCH BOX,1,11/1/2011 10:16,1.95,17377.0,United Kingdom
536401,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,12/1/2010 11:21,1.25,15862.0,United Kingdom
576690,22621,TRADITIONAL KNITTING NANCY,3,11/16/2011 12:19,1.65,15900.0,United Kingdom
553385,22652,TRAVEL SEWING KIT,1,5/16/2011 15:53,1.65,16710.0,United Kingdom
569216,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,10/2/2011 12:41,8.95,15555.0,United Kingdom
539642,15056N,EDWARDIAN PARASOL NATURAL,2,12/20/2010 15:35,5.95,15867.0,United Kingdom
547248,84970S,HANGING HEART ZINC T-LIGHT HOLDER,6,3/22/2011 9:23,2.08,,United Kingdom
571737,85099F,JUMBO BAG STRAWBERRY,10,10/19/2011 10:31,2.08,14367.0,United Kingdom
541596,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,2,1/19/2011 16:19,2.1,17602.0,United Kingdom
541423,84519B,CARROT CHARLIE+LOLA COASTER SET,1,1/17/2011 17:54,3.29,,United Kingdom
545548,77101A,,-87,3/3/2011 15:08,0.0,,United Kingdom
565788,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,9/7/2011 8:18,3.25,13210.0,United Kingdom
543179,22494,EMERGENCY FIRST AID TIN ,1,2/4/2011 10:31,1.25,12754.0,Japan
542255,21222,SET/4 BADGES BEETLES,2,1/26/2011 16:43,2.46,,United Kingdom
552045,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,5/6/2011 9:22,0.29,18241.0,United Kingdom
558904,21633,SUNFLOWER DECORATIVE PARASOL,1,7/4/2011 16:18,8.29,,United Kingdom
575874,22776,SWEETHEART 3 TIER CAKE STAND ,1,11/11/2011 12:56,9.95,17054.0,United Kingdom
557954,48138,DOORMAT UNION FLAG,1,6/23/2011 18:44,7.95,15023.0,United Kingdom
543161,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2/3/2011 17:01,0.85,14497.0,United Kingdom
542246,21754,HOME BUILDING BLOCK WORD,6,1/26/2011 15:31,5.95,15227.0,United Kingdom
569897,23241,TREASURE TIN GYMKHANA DESIGN,1,10/6/2011 16:01,2.08,17813.0,United Kingdom
560772,22379,RECYCLING BAG RETROSPOT ,2,7/20/2011 16:12,4.13,,United Kingdom
559797,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,7/12/2011 13:31,3.25,12720.0,Germany
547387,22979,PANTRY WASHING UP BRUSH,12,3/22/2011 16:00,1.45,12539.0,Spain
541567,21731,RED TOADSTOOL LED NIGHT LIGHT,24,1/19/2011 11:51,1.65,12681.0,France
581439,90119,METALIC LEAVES BAG CHARMS,1,12/8/2011 16:30,2.46,,United Kingdom
559669,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,7/11/2011 13:47,5.95,16332.0,United Kingdom
545821,84988,SET OF 72 PINK HEART PAPER DOILIES,12,3/7/2011 12:50,1.45,13001.0,United Kingdom
561085,22079,RIBBON REEL HEARTS DESIGN ,10,7/25/2011 9:26,1.65,14367.0,United Kingdom
578262,21975,PACK OF 60 DINOSAUR CAKE CASES,3,11/23/2011 13:27,0.55,18283.0,United Kingdom
540406,20711,JUMBO BAG TOYS ,100,1/7/2011 9:53,1.65,13798.0,United Kingdom
553890,22360,GLASS JAR ENGLISH CONFECTIONERY,1,5/19/2011 16:32,5.79,,United Kingdom
540477,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,24,1/7/2011 14:49,1.25,13233.0,United Kingdom
541003,85099F,JUMBO BAG STRAWBERRY,10,1/13/2011 10:35,1.95,15835.0,United Kingdom
575484,22065,CHRISTMAS PUDDING TRINKET POT ,48,11/9/2011 17:02,0.39,16670.0,United Kingdom
554994,85130D,BEADED CRYSTAL HEART PINK LARGE,2,5/29/2011 14:18,1.65,14606.0,United Kingdom
568134,82600,NO SINGING METAL SIGN,1,9/23/2011 17:02,4.13,,United Kingdom
566933,22689,DOORMAT MERRY CHRISTMAS RED ,20,9/15/2011 15:30,4.58,18102.0,United Kingdom
556960,23081,GREEN METAL BOX ARMY SUPPLIES,2,6/16/2011 9:28,8.25,14844.0,United Kingdom
572732,22418,10 COLOUR SPACEBOY PEN,48,10/25/2011 15:21,0.85,18079.0,United Kingdom
570189,23438, RED SPOT GIFT BAG LARGE,12,10/7/2011 15:15,1.25,12492.0,Germany
578040,23322,LARGE WHITE HEART OF WICKER,2,11/22/2011 14:21,2.95,13322.0,United Kingdom
573777,22555,PLASTERS IN TIN STRONGMAN,12,11/1/2011 10:49,1.65,13726.0,United Kingdom
577438,22208,WOOD STAMP SET THANK YOU,1,11/20/2011 11:09,0.83,18118.0,United Kingdom
562113,22485,SET OF 2 WOODEN MARKET CRATES,1,8/2/2011 16:11,24.96,,United Kingdom
555349,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,6/2/2011 12:08,2.95,16729.0,United Kingdom
555149,84993A,75 GREEN PETIT FOUR CASES,1,5/31/2011 15:49,0.83,,United Kingdom
546896,85206A,CREAM FELT EASTER EGG BASKET,1,3/17/2011 18:24,1.65,,United Kingdom
568938,23101,SILVER STARS TABLE DECORATION,4,9/29/2011 14:46,0.83,17220.0,United Kingdom
562688,22496,SET OF 2 ROUND TINS DUTCH CHEESE,2,8/8/2011 13:53,2.95,13869.0,United Kingdom
537640,22377,BOTTLE BAG RETROSPOT ,1,12/7/2010 15:31,5.06,,United Kingdom
560288,22625,RED KITCHEN SCALES,4,7/18/2011 10:05,8.5,15845.0,United Kingdom
542617,21733,RED HANGING HEART T-LIGHT HOLDER,2,1/30/2011 15:48,2.95,17463.0,United Kingdom
542862,20764,ABSTRACT CIRCLES SKETCHBOOK ,1,2/1/2011 11:51,3.75,14606.0,United Kingdom
578633,22112,CHOCOLATE HOT WATER BOTTLE,3,11/24/2011 16:31,4.95,16616.0,United Kingdom
564539,23204,CHARLOTTE BAG APPLES DESIGN,10,8/25/2011 15:22,0.85,12715.0,Sweden
541104,85202,HANGING WOOD AND FELT HEART,13,1/13/2011 14:29,0.42,,United Kingdom
577785,23019,SMALL APOTHECARY MEASURING JAR ,2,11/21/2011 16:25,8.25,16369.0,United Kingdom
537375,21976,PACK OF 60 MUSHROOM CAKE CASES,3,12/6/2010 12:55,0.55,17019.0,United Kingdom
578844,21579,LOLITA  DESIGN  COTTON TOTE BAG,1,11/25/2011 16:14,4.96,,United Kingdom
550656,21936,RED RETROSPOT PICNIC BAG,5,4/20/2011 8:07,2.95,17652.0,United Kingdom
558535,23208,LUNCH BAG VINTAGE LEAF DESIGN,2,6/30/2011 12:04,1.65,16904.0,United Kingdom
537237,21098,CHRISTMAS TOILET ROLL,23,12/6/2010 9:58,2.51,,United Kingdom
544466,84989A,75 GREEN FAIRY CAKE CASES,1,2/20/2011 15:43,0.55,14606.0,United Kingdom
557938,22090,PAPER BUNTING RETROSPOT,3,6/23/2011 15:35,5.79,,United Kingdom
546846,21790,VINTAGE SNAP CARDS,3,3/17/2011 12:47,0.85,13533.0,United Kingdom
538009,21469,POLKA DOT RAFFIA FOOD COVER,6,12/9/2010 12:17,3.75,14911.0,EIRE
572025,20992,JAZZ HEARTS PURSE NOTEBOOK,24,10/20/2011 11:30,0.39,17651.0,United Kingdom
544638,79302M,"ART LIGHTS,FUNK MONKEY",6,2/22/2011 11:33,2.95,14688.0,United Kingdom
579754,22809,SET OF 6 T-LIGHTS SANTA,6,11/30/2011 14:52,2.95,17911.0,United Kingdom
573311,23414,ZINC BOX SIGN HOME,1,10/28/2011 16:45,9.95,14071.0,United Kingdom
549257,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,4/7/2011 12:29,2.55,14465.0,United Kingdom
571292,22620,4 TRADITIONAL SPINNING TOPS,3,10/16/2011 15:45,1.45,15311.0,United Kingdom
549537,85176,SEWING SUSAN 21 NEEDLE SET,1,4/8/2011 17:22,0.85,,United Kingdom
539588,21464,DISCO BALL ROTATOR BATTERY OPERATED,1,12/20/2010 13:11,4.25,14527.0,United Kingdom
559052,22628,PICNIC BOXES SET OF 3 RETROSPOT ,13,7/5/2011 16:53,4.13,,United Kingdom
541006,21155,RED RETROSPOT PEG BAG,6,1/13/2011 10:43,2.1,13993.0,United Kingdom
564857,21306,SET/4 DAISY MIRROR MAGNETS,1,8/31/2011 9:23,3.29,,United Kingdom
560051,22431,WATERING CAN BLUE ELEPHANT,6,7/14/2011 15:22,1.95,15306.0,United Kingdom
581000,22961,JAM MAKING SET PRINTED,12,12/7/2011 8:03,1.45,12720.0,Germany
580819,22380,TOY TIDY SPACEBOY  ,20,12/6/2011 11:30,0.79,15318.0,United Kingdom
558628,22231,JIGSAW TREE WITH BIRDHOUSE,12,6/30/2011 17:59,0.59,12626.0,Germany
541871,84946,ANTIQUE SILVER TEA GLASS ETCHED,2,1/24/2011 9:41,2.46,,United Kingdom
571425,22624,IVORY KITCHEN SCALES,2,10/17/2011 12:41,8.5,14911.0,EIRE
C557663,21212,PACK OF 72 RETROSPOT CAKE CASES,-24,6/21/2011 17:59,0.55,,EIRE
557291,20618,QUEEN OF THE SKIES PASSPORT COVER ,12,6/19/2011 13:01,2.1,18230.0,United Kingdom
576339,84596F,SMALL MARSHMALLOWS PINK BOWL,20,11/14/2011 15:27,0.83,14096.0,United Kingdom
551966,21169,YOU'RE CONFUSING ME METAL SIGN ,2,5/5/2011 13:14,1.69,15356.0,United Kingdom
553709,22699,ROSES REGENCY TEACUP AND SAUCER ,6,5/18/2011 15:29,2.95,13767.0,United Kingdom
545301,22431,WATERING CAN BLUE ELEPHANT,8,3/1/2011 12:26,1.95,12679.0,France
537196,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,12/5/2010 13:55,1.25,15426.0,United Kingdom
559660,84692,BOX OF 24 COCKTAIL PARASOLS,75,7/11/2011 13:19,0.42,16701.0,United Kingdom
576252,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,24,11/14/2011 13:55,0.39,14418.0,United Kingdom
559350,20726,LUNCH BAG WOODLAND,10,7/7/2011 17:35,1.65,16842.0,United Kingdom
578339,23267,SET OF 4 SANTA PLACE SETTINGS,12,11/24/2011 9:07,1.25,12421.0,Spain
542241,21669,BLUE STRIPE CERAMIC DRAWER KNOB,1,1/26/2011 14:51,1.25,16409.0,United Kingdom
553484,21187,WHITE BELL HONEYCOMB PAPER GARLAND ,25,5/17/2011 12:21,1.65,14513.0,United Kingdom
558237,22984,CARD GINGHAM ROSE ,12,6/27/2011 15:04,0.42,12867.0,United Kingdom
574923,22680,FRENCH BLUE METAL DOOR SIGN 5,4,11/7/2011 16:40,1.25,17757.0,United Kingdom
547703,21671,RED SPOT CERAMIC DRAWER KNOB,12,3/24/2011 17:10,1.25,12540.0,Spain
551997,21915,RED  HARMONICA IN BOX ,25,5/5/2011 15:47,2.46,,United Kingdom
571054,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2,10/13/2011 13:58,2.1,14234.0,United Kingdom
573344,22383,LUNCH BAG SUKI DESIGN ,1,10/30/2011 12:07,1.65,14179.0,United Kingdom
562378,21824,PAINTED METAL STAR WITH HOLLY BELLS,24,8/4/2011 15:07,1.45,15046.0,United Kingdom
543182,85232D,SET/3 DECOUPAGE STACKING TINS,1,2/4/2011 10:40,9.96,,United Kingdom
540997,84692,BOX OF 24 COCKTAIL PARASOLS,2,1/13/2011 9:55,0.42,17368.0,United Kingdom
556017,22652,TRAVEL SEWING KIT,10,6/8/2011 11:56,1.65,15382.0,United Kingdom
570887,23222,CHRISTMAS TREE HANGING GOLD,12,10/13/2011 10:25,0.83,17169.0,United Kingdom
539958,21618,4 WILDFLOWER BOTANICAL CANDLES,4,12/23/2010 13:26,2.51,,United Kingdom
545338,48188,DOORMAT WELCOME PUPPIES,1,3/1/2011 17:32,7.95,17449.0,United Kingdom
569469,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,1,10/4/2011 12:22,4.65,16360.0,United Kingdom
553208,23158,SET OF 5 LUCKY CAT MAGNETS ,12,5/16/2011 9:10,2.08,12674.0,France
552229,22505,MEMO BOARD COTTAGE DESIGN,1,5/6/2011 15:40,10.79,,United Kingdom
548870,21851,LILAC DIAMANTE PEN IN GIFT BOX,1,4/4/2011 14:41,4.95,14606.0,United Kingdom
567875,22829,SWEETHEART WIRE WALL TIDY,1,9/22/2011 14:29,9.95,16348.0,United Kingdom
577544,23570,TRADITIONAL PICK UP STICKS GAME ,6,11/20/2011 14:43,1.25,17758.0,United Kingdom
559549,21561,DINOSAUR LUNCH BOX WITH CUTLERY,1,7/10/2011 15:25,2.55,13230.0,United Kingdom
543660,22288,HANGING METAL RABBIT DECORATION,1,2/11/2011 10:40,2.46,,United Kingdom
537773,20726,LUNCH BAG WOODLAND,2,12/8/2010 12:36,1.65,16016.0,United Kingdom
538255,21524,DOORMAT SPOTTY HOME SWEET HOME,2,12/10/2010 12:33,7.95,14911.0,EIRE
C579895,23374,RED SPOT PAPER GIFT BAG,-5,12/1/2011 8:27,0.82,14329.0,United Kingdom
571931,15036,ASSORTED COLOURS SILK FAN,6,10/19/2011 16:59,1.63,,United Kingdom
569545,23083,SET 6 PAPER TABLE LANTERN STARS ,1,10/4/2011 16:37,7.46,,United Kingdom
560562,23109,LED TEA LIGHTS,6,7/19/2011 13:34,2.89,15713.0,United Kingdom
558904,22077,6 RIBBONS RUSTIC CHARM,2,7/4/2011 16:18,3.29,,United Kingdom
554494,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,3,5/24/2011 14:00,2.1,16327.0,United Kingdom
567305,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,9/19/2011 13:28,2.95,12621.0,Germany
566307,23274,STAR T-LIGHT HOLDER WILLIE WINKIE,12,9/12/2011 9:37,1.65,14307.0,United Kingdom
580731,22809,SET OF 6 T-LIGHTS SANTA,1,12/5/2011 17:36,2.95,17383.0,United Kingdom
544571,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2/21/2011 13:07,3.25,15146.0,United Kingdom
544676,23004,TRAVEL CARD WALLET PANTRY,2,2/22/2011 16:03,0.42,17841.0,United Kingdom
538208,22940,FELTCRAFT CHRISTMAS FAIRY,1,12/10/2010 11:39,4.25,14037.0,United Kingdom
571032,22470,HEART OF WICKER LARGE,2,10/13/2011 12:38,2.95,13827.0,United Kingdom
541014,22796,PHOTO FRAME 3 CLASSIC HANGING,2,1/13/2011 11:54,9.95,14085.0,United Kingdom
578719,21990,MODERN FLORAL STATIONERY SET,1,11/25/2011 11:25,1.25,17348.0,United Kingdom
551518,82484,WOOD BLACK BOARD ANT WHITE FINISH,4,5/1/2011 11:36,7.95,15708.0,United Kingdom
560090,21580,RABBIT  DESIGN  COTTON TOTE BAG,1,7/14/2011 16:46,1.63,,United Kingdom
564754,17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,1,8/30/2011 10:29,2.46,,United Kingdom
540014,22476,EMPIRE UNION JACK TV DINNER TRAY,6,1/4/2011 11:34,4.95,14606.0,United Kingdom
553892,47566,PARTY BUNTING,8,5/19/2011 16:56,4.95,14825.0,United Kingdom
565840,22196,SMALL HEART MEASURING SPOONS,1,9/7/2011 12:02,1.63,,United Kingdom
552337,22716,CARD CIRCUS PARADE,12,5/9/2011 11:34,0.42,12621.0,Germany
544910,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,9,2/24/2011 14:32,4.95,16072.0,United Kingdom
572867,22302,COFFEE MUG PEARS  DESIGN,4,10/26/2011 13:19,2.55,14598.0,United Kingdom
572867,23505,PLAYING CARDS I LOVE LONDON ,2,10/26/2011 13:19,1.25,14598.0,United Kingdom
537395,21904,HOUSE WRECKING METAL SIGN ,1,12/6/2010 14:05,2.1,15356.0,United Kingdom
559796,23205,CHARLOTTE BAG VINTAGE ALPHABET ,12,7/12/2011 13:30,2.46,,United Kingdom
560996,23295,SET OF 12 MINI LOAF BAKING CASES,3,7/22/2011 13:53,0.83,17625.0,United Kingdom
549099,21067,VINTAGE RED TEATIME MUG,2,4/6/2011 11:07,1.25,16241.0,United Kingdom
546890,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,3/17/2011 18:18,0.85,13394.0,United Kingdom
563012,22481,BLACK TEA TOWEL CLASSIC DESIGN,1,8/11/2011 12:00,1.25,17284.0,United Kingdom
561818,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,7/29/2011 15:51,2.95,16775.0,United Kingdom
573094,21705,BAG 500g SWIRLY MARBLES,1,10/27/2011 14:39,1.65,15707.0,United Kingdom
545148,22249,DECORATION WHITE CHICK MAGIC GARDEN,16,2/28/2011 12:14,0.85,13675.0,United Kingdom
538524,22261,FELT EGG COSY WHITE RABBIT ,2,12/13/2010 9:35,1.66,,United Kingdom
556063,22383,LUNCH BAG SUKI DESIGN ,1,6/8/2011 14:09,1.65,14587.0,United Kingdom
