InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Year,Month,Revenue
543179,22494,EMERGENCY FIRST AID TIN,1,2011-02-04T10:31:00.000Z,1.25,12754.0,Japan,2011,February,1.25
552045,21980,PACK OF 12 RED RETROSPOT TISSUES,24,2011-05-06T09:22:00.000Z,0.29,18241.0,United Kingdom,2011,May,6.96
575874,22776,SWEETHEART 3 TIER CAKE STAND,1,2011-11-11T12:56:00.000Z,9.95,17054.0,United Kingdom,2011,November,9.95
557954,48138,DOORMAT UNION FLAG,1,2011-06-23T18:44:00.000Z,7.95,15023.0,United Kingdom,2011,June,7.95
543161,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-02-03T17:01:00.000Z,0.85,14497.0,United Kingdom,2011,February,10.2
542246,21754,HOME BUILDING BLOCK WORD,6,2011-01-26T15:31:00.000Z,5.95,15227.0,United Kingdom,2011,January,35.7
569897,23241,TREASURE TIN GYMKHANA DESIGN,1,2011-10-06T16:01:00.000Z,2.08,17813.0,United Kingdom,2011,October,2.08
559797,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2011-07-12T13:31:00.000Z,3.25,12720.0,Germany,2011,July,19.5
547387,22979,PANTRY WASHING UP BRUSH,12,2011-03-22T16:00:00.000Z,1.45,12539.0,Spain,2011,March,17.4
541567,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2011-01-19T11:51:00.000Z,1.65,12681.0,France,2011,January,39.6
559669,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2011-07-11T13:47:00.000Z,5.95,16332.0,United Kingdom,2011,July,17.85
545821,84988,SET OF 72 PINK HEART PAPER DOILIES,12,2011-03-07T12:50:00.000Z,1.45,13001.0,United Kingdom,2011,March,17.4
561085,22079,RIBBON REEL HEARTS DESIGN,10,2011-07-25T09:26:00.000Z,1.65,14367.0,United Kingdom,2011,July,16.5
578262,21975,PACK OF 60 DINOSAUR CAKE CASES,3,2011-11-23T13:27:00.000Z,0.55,18283.0,United Kingdom,2011,November,1.65
540406,20711,JUMBO BAG TOYS,100,2011-01-07T09:53:00.000Z,1.65,13798.0,United Kingdom,2011,January,165.0
540477,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,24,2011-01-07T14:49:00.000Z,1.25,13233.0,United Kingdom,2011,January,30.0
541003,85099F,JUMBO BAG STRAWBERRY,10,2011-01-13T10:35:00.000Z,1.95,15835.0,United Kingdom,2011,January,19.5
575484,22065,CHRISTMAS PUDDING TRINKET POT,48,2011-11-09T17:02:00.000Z,0.39,16670.0,United Kingdom,2011,November,18.72
554994,85130D,BEADED CRYSTAL HEART PINK LARGE,2,2011-05-29T14:18:00.000Z,1.65,14606.0,United Kingdom,2011,May,3.3
566933,22689,DOORMAT MERRY CHRISTMAS RED,20,2011-09-15T15:30:00.000Z,4.58,18102.0,United Kingdom,2011,September,91.6
556960,23081,GREEN METAL BOX ARMY SUPPLIES,2,2011-06-16T09:28:00.000Z,8.25,14844.0,United Kingdom,2011,June,16.5
572732,22418,10 COLOUR SPACEBOY PEN,48,2011-10-25T15:21:00.000Z,0.85,18079.0,United Kingdom,2011,October,40.8
570189,23438,RED SPOT GIFT BAG LARGE,12,2011-10-07T15:15:00.000Z,1.25,12492.0,Germany,2011,October,15.0
578040,23322,LARGE WHITE HEART OF WICKER,2,2011-11-22T14:21:00.000Z,2.95,13322.0,United Kingdom,2011,November,5.9
573777,22555,PLASTERS IN TIN STRONGMAN,12,2011-11-01T10:49:00.000Z,1.65,13726.0,United Kingdom,2011,November,19.8
577438,22208,WOOD STAMP SET THANK YOU,1,2011-11-20T11:09:00.000Z,0.83,18118.0,United Kingdom,2011,November,0.83
555349,22328,ROUND SNACK BOXES SET OF 4 FRUITS,1,2011-06-02T12:08:00.000Z,2.95,16729.0,United Kingdom,2011,June,2.95
568938,23101,SILVER STARS TABLE DECORATION,4,2011-09-29T14:46:00.000Z,0.83,17220.0,United Kingdom,2011,September,3.32
562688,22496,SET OF 2 ROUND TINS DUTCH CHEESE,2,2011-08-08T13:53:00.000Z,2.95,13869.0,United Kingdom,2011,August,5.9
560288,22625,RED KITCHEN SCALES,4,2011-07-18T10:05:00.000Z,8.5,15845.0,United Kingdom,2011,July,34.0
542617,21733,RED HANGING HEART T-LIGHT HOLDER,2,2011-01-30T15:48:00.000Z,2.95,17463.0,United Kingdom,2011,January,5.9
542862,20764,ABSTRACT CIRCLES SKETCHBOOK,1,2011-02-01T11:51:00.000Z,3.75,14606.0,United Kingdom,2011,February,3.75
578633,22112,CHOCOLATE HOT WATER BOTTLE,3,2011-11-24T16:31:00.000Z,4.95,16616.0,United Kingdom,2011,November,14.85
564539,23204,CHARLOTTE BAG APPLES DESIGN,10,2011-08-25T15:22:00.000Z,0.85,12715.0,Sweden,2011,August,8.5
577785,23019,SMALL APOTHECARY MEASURING JAR,2,2011-11-21T16:25:00.000Z,8.25,16369.0,United Kingdom,2011,November,16.5
537375,21976,PACK OF 60 MUSHROOM CAKE CASES,3,2010-12-06T12:55:00.000Z,0.55,17019.0,United Kingdom,2010,December,1.65
550656,21936,RED RETROSPOT PICNIC BAG,5,2011-04-20T08:07:00.000Z,2.95,17652.0,United Kingdom,2011,April,14.75
558535,23208,LUNCH BAG VINTAGE LEAF DESIGN,2,2011-06-30T12:04:00.000Z,1.65,16904.0,United Kingdom,2011,June,3.3
544466,84989A,75 GREEN FAIRY CAKE CASES,1,2011-02-20T15:43:00.000Z,0.55,14606.0,United Kingdom,2011,February,0.55
546846,21790,VINTAGE SNAP CARDS,3,2011-03-17T12:47:00.000Z,0.85,13533.0,United Kingdom,2011,March,2.55
538009,21469,POLKA DOT RAFFIA FOOD COVER,6,2010-12-09T12:17:00.000Z,3.75,14911.0,EIRE,2010,December,22.5
572025,20992,JAZZ HEARTS PURSE NOTEBOOK,24,2011-10-20T11:30:00.000Z,0.39,17651.0,United Kingdom,2011,October,9.36
544638,79302M,"ART LIGHTS,FUNK MONKEY",6,2011-02-22T11:33:00.000Z,2.95,14688.0,United Kingdom,2011,February,17.7
579754,22809,SET OF 6 T-LIGHTS SANTA,6,2011-11-30T14:52:00.000Z,2.95,17911.0,United Kingdom,2011,November,17.7
573311,23414,ZINC BOX SIGN HOME,1,2011-10-28T16:45:00.000Z,9.95,14071.0,United Kingdom,2011,October,9.95
549257,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2011-04-07T12:29:00.000Z,2.55,14465.0,United Kingdom,2011,April,2.55
571292,22620,4 TRADITIONAL SPINNING TOPS,3,2011-10-16T15:45:00.000Z,1.45,15311.0,United Kingdom,2011,October,4.35
539588,21464,DISCO BALL ROTATOR BATTERY OPERATED,1,2010-12-20T13:11:00.000Z,4.25,14527.0,United Kingdom,2010,December,4.25
541006,21155,RED RETROSPOT PEG BAG,6,2011-01-13T10:43:00.000Z,2.1,13993.0,United Kingdom,2011,January,12.6
560051,22431,WATERING CAN BLUE ELEPHANT,6,2011-07-14T15:22:00.000Z,1.95,15306.0,United Kingdom,2011,July,11.7
581000,22961,JAM MAKING SET PRINTED,12,2011-12-07T08:03:00.000Z,1.45,12720.0,Germany,2011,December,17.4
580819,22380,TOY TIDY SPACEBOY,20,2011-12-06T11:30:00.000Z,0.79,15318.0,United Kingdom,2011,December,15.8
558628,22231,JIGSAW TREE WITH BIRDHOUSE,12,2011-06-30T17:59:00.000Z,0.59,12626.0,Germany,2011,June,7.08
571425,22624,IVORY KITCHEN SCALES,2,2011-10-17T12:41:00.000Z,8.5,14911.0,EIRE,2011,October,17.0
557291,20618,QUEEN OF THE SKIES PASSPORT COVER,12,2011-06-19T13:01:00.000Z,2.1,18230.0,United Kingdom,2011,June,25.2
576339,84596F,SMALL MARSHMALLOWS PINK BOWL,20,2011-11-14T15:27:00.000Z,0.83,14096.0,United Kingdom,2011,November,16.6
551966,21169,YOU'RE CONFUSING ME METAL SIGN,2,2011-05-05T13:14:00.000Z,1.69,15356.0,United Kingdom,2011,May,3.38
553709,22699,ROSES REGENCY TEACUP AND SAUCER,6,2011-05-18T15:29:00.000Z,2.95,13767.0,United Kingdom,2011,May,17.7
545301,22431,WATERING CAN BLUE ELEPHANT,8,2011-03-01T12:26:00.000Z,1.95,12679.0,France,2011,March,15.6
537196,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,2010-12-05T13:55:00.000Z,1.25,15426.0,United Kingdom,2010,December,7.5
559660,84692,BOX OF 24 COCKTAIL PARASOLS,75,2011-07-11T13:19:00.000Z,0.42,16701.0,United Kingdom,2011,July,31.5
576252,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,24,2011-11-14T13:55:00.000Z,0.39,14418.0,United Kingdom,2011,November,9.36
559350,20726,LUNCH BAG WOODLAND,10,2011-07-07T17:35:00.000Z,1.65,16842.0,United Kingdom,2011,July,16.5
578339,23267,SET OF 4 SANTA PLACE SETTINGS,12,2011-11-24T09:07:00.000Z,1.25,12421.0,Spain,2011,November,15.0
542241,21669,BLUE STRIPE CERAMIC DRAWER KNOB,1,2011-01-26T14:51:00.000Z,1.25,16409.0,United Kingdom,2011,January,1.25
553484,21187,WHITE BELL HONEYCOMB PAPER GARLAND,25,2011-05-17T12:21:00.000Z,1.65,14513.0,United Kingdom,2011,May,41.25
558237,22984,CARD GINGHAM ROSE,12,2011-06-27T15:04:00.000Z,0.42,12867.0,United Kingdom,2011,June,5.04
574923,22680,FRENCH BLUE METAL DOOR SIGN 5,4,2011-11-07T16:40:00.000Z,1.25,17757.0,United Kingdom,2011,November,5.0
547703,21671,RED SPOT CERAMIC DRAWER KNOB,12,2011-03-24T17:10:00.000Z,1.25,12540.0,Spain,2011,March,15.0
571054,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2,2011-10-13T13:58:00.000Z,2.1,14234.0,United Kingdom,2011,October,4.2
573344,22383,LUNCH BAG SUKI DESIGN,1,2011-10-30T12:07:00.000Z,1.65,14179.0,United Kingdom,2011,October,1.65
562378,21824,PAINTED METAL STAR WITH HOLLY BELLS,24,2011-08-04T15:07:00.000Z,1.45,15046.0,United Kingdom,2011,August,34.8
540997,84692,BOX OF 24 COCKTAIL PARASOLS,2,2011-01-13T09:55:00.000Z,0.42,17368.0,United Kingdom,2011,January,0.84
556017,22652,TRAVEL SEWING KIT,10,2011-06-08T11:56:00.000Z,1.65,15382.0,United Kingdom,2011,June,16.5
570887,23222,CHRISTMAS TREE HANGING GOLD,12,2011-10-13T10:25:00.000Z,0.83,17169.0,United Kingdom,2011,October,9.96
545338,48188,DOORMAT WELCOME PUPPIES,1,2011-03-01T17:32:00.000Z,7.95,17449.0,United Kingdom,2011,March,7.95
569469,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,1,2011-10-04T12:22:00.000Z,4.65,16360.0,United Kingdom,2011,October,4.65
553208,23158,SET OF 5 LUCKY CAT MAGNETS,12,2011-05-16T09:10:00.000Z,2.08,12674.0,France,2011,May,24.96
548870,21851,LILAC DIAMANTE PEN IN GIFT BOX,1,2011-04-04T14:41:00.000Z,4.95,14606.0,United Kingdom,2011,April,4.95
567875,22829,SWEETHEART WIRE WALL TIDY,1,2011-09-22T14:29:00.000Z,9.95,16348.0,United Kingdom,2011,September,9.95
577544,23570,TRADITIONAL PICK UP STICKS GAME,6,2011-11-20T14:43:00.000Z,1.25,17758.0,United Kingdom,2011,November,7.5
559549,21561,DINOSAUR LUNCH BOX WITH CUTLERY,1,2011-07-10T15:25:00.000Z,2.55,13230.0,United Kingdom,2011,July,2.55
537773,20726,LUNCH BAG WOODLAND,2,2010-12-08T12:36:00.000Z,1.65,16016.0,United Kingdom,2010,December,3.3
538255,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2010-12-10T12:33:00.000Z,7.95,14911.0,EIRE,2010,December,15.9
C579895,23374,RED SPOT PAPER GIFT BAG,-5,2011-12-01T08:27:00.000Z,0.82,14329.0,United Kingdom,2011,December,-4.1
560562,23109,LED TEA LIGHTS,6,2011-07-19T13:34:00.000Z,2.89,15713.0,United Kingdom,2011,July,17.34
554494,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,3,2011-05-24T14:00:00.000Z,2.1,16327.0,United Kingdom,2011,May,6.3
567305,22328,ROUND SNACK BOXES SET OF 4 FRUITS,12,2011-09-19T13:28:00.000Z,2.95,12621.0,Germany,2011,September,35.4
566307,23274,STAR T-LIGHT HOLDER WILLIE WINKIE,12,2011-09-12T09:37:00.000Z,1.65,14307.0,United Kingdom,2011,September,19.8
580731,22809,SET OF 6 T-LIGHTS SANTA,1,2011-12-05T17:36:00.000Z,2.95,17383.0,United Kingdom,2011,December,2.95
544571,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2011-02-21T13:07:00.000Z,3.25,15146.0,United Kingdom,2011,February,19.5
544676,23004,TRAVEL CARD WALLET PANTRY,2,2011-02-22T16:03:00.000Z,0.42,17841.0,United Kingdom,2011,February,0.84
538208,22940,FELTCRAFT CHRISTMAS FAIRY,1,2010-12-10T11:39:00.000Z,4.25,14037.0,United Kingdom,2010,December,4.25
571032,22470,HEART OF WICKER LARGE,2,2011-10-13T12:38:00.000Z,2.95,13827.0,United Kingdom,2011,October,5.9
541014,22796,PHOTO FRAME 3 CLASSIC HANGING,2,2011-01-13T11:54:00.000Z,9.95,14085.0,United Kingdom,2011,January,19.9
578719,21990,MODERN FLORAL STATIONERY SET,1,2011-11-25T11:25:00.000Z,1.25,17348.0,United Kingdom,2011,November,1.25
551518,82484,WOOD BLACK BOARD ANT WHITE FINISH,4,2011-05-01T11:36:00.000Z,7.95,15708.0,United Kingdom,2011,May,31.8
540014,22476,EMPIRE UNION JACK TV DINNER TRAY,6,2011-01-04T11:34:00.000Z,4.95,14606.0,United Kingdom,2011,January,29.7
553892,47566,PARTY BUNTING,8,2011-05-19T16:56:00.000Z,4.95,14825.0,United Kingdom,2011,May,39.6
552337,22716,CARD CIRCUS PARADE,12,2011-05-09T11:34:00.000Z,0.42,12621.0,Germany,2011,May,5.04
544910,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,2011-02-24T14:32:00.000Z,4.95,16072.0,United Kingdom,2011,February,44.55
572867,22302,COFFEE MUG PEARS  DESIGN,4,2011-10-26T13:19:00.000Z,2.55,14598.0,United Kingdom,2011,October,10.2
572867,23505,PLAYING CARDS I LOVE LONDON,2,2011-10-26T13:19:00.000Z,1.25,14598.0,United Kingdom,2011,October,2.5
537395,21904,HOUSE WRECKING METAL SIGN,1,2010-12-06T14:05:00.000Z,2.1,15356.0,United Kingdom,2010,December,2.1
560996,23295,SET OF 12 MINI LOAF BAKING CASES,3,2011-07-22T13:53:00.000Z,0.83,17625.0,United Kingdom,2011,July,2.49
549099,21067,VINTAGE RED TEATIME MUG,2,2011-04-06T11:07:00.000Z,1.25,16241.0,United Kingdom,2011,April,2.5
546890,22851,SET 20 NAPKINS FAIRY CAKES DESIGN,12,2011-03-17T18:18:00.000Z,0.85,13394.0,United Kingdom,2011,March,10.2
563012,22481,BLACK TEA TOWEL CLASSIC DESIGN,1,2011-08-11T12:00:00.000Z,1.25,17284.0,United Kingdom,2011,August,1.25
561818,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-07-29T15:51:00.000Z,2.95,16775.0,United Kingdom,2011,July,5.9
573094,21705,BAG 500g SWIRLY MARBLES,1,2011-10-27T14:39:00.000Z,1.65,15707.0,United Kingdom,2011,October,1.65
545148,22249,DECORATION WHITE CHICK MAGIC GARDEN,16,2011-02-28T12:14:00.000Z,0.85,13675.0,United Kingdom,2011,February,13.6
556063,22383,LUNCH BAG SUKI DESIGN,1,2011-06-08T14:09:00.000Z,1.65,14587.0,United Kingdom,2011,June,1.65
578541,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-11-24T15:01:00.000Z,1.25,14277.0,France,2011,November,15.0
571446,22699,ROSES REGENCY TEACUP AND SAUCER,48,2011-10-17T13:46:00.000Z,2.55,14911.0,EIRE,2011,October,122.4
